product_id,product_type,product_name,product_gender_target,product_category,product_season,product_condition,product_like_count,sold,reserved,available,in_stock,should_be_gone,brand_id,brand_name,brand_url,product_material,product_color,price_usd,seller_price,seller_earning,seller_badge,has_cross_border_fees,buyers_fees,warehouse_name,seller_id,seller_username,seller_country,seller_products_sold,seller_num_products_listed,seller_community_rank,seller_num_followers,seller_pass_rate,price_range,conversion_rate,shipping_days
15374877,Aviator sunglasses,Aviator sunglasses Chanel Brown in Metal ,Women,women accessories,All seasons,Very good condition,9,0,0,0,0,0,50,chanel,http://vestiairecollective.com/chanel/,Metal,brown,255.6,213.0,181.05,Trusted,1,42.6,Tourcoing,200798,C12345,france,183,33,3822,738,91.0,low,5.545454545,1
36768778,Silk tie,Silk tie Gucci Burgundy in Silk ,Men,men accessories,All seasons,Never worn,13,0,0,1,0,0,2,gucci,http://vestiairecollective.com/gucci/,Silk,burgundy,166.14,138.45,113.53,Common,1,27.69,Tourcoing,9989148,konstantin9989148,bulgaria,781,586,3057,243,95.0,low,1.332764505,1
42486844,Leather belt,Leather belt Calvin Klein Black size 95 cm in Leather ,Men,men accessories,All seasons,Good condition,1,0,0,1,0,0,112,calvin klein,http://vestiairecollective.com/calvin-klein/,Leather,black,23.0,19.17,5.33,Trusted,1,3.83,Tourcoing,25679893,jorge25679893,spain,2,13,0,42,100.0,very_low,0.153846154,1
42995861,Sweatshirt,Sweatshirt Nike Anthracite size M International in Cotton ,Men,men clothing,All seasons,Very good condition,0,0,0,1,0,0,61,nike,http://vestiairecollective.com/nike/,Cotton,anthracite,65.21,54.34,39.85,Common,1,10.87,Hong Kong,19281893,pingpinge,south korea,28,256,0,21,57.0,very_low,0.109375,3
42152923,T-shirt,T,Men,men clothing,All seasons,Very good condition,1,0,0,1,0,0,5312,reebok,http://vestiairecollective.com/reebok/,Polyester,blue,115.02,95.85,78.28,Common,1,19.17,Tourcoing,21439039,zebra_clothing21439039,romania,55,189,0,154,91.0,low,0.291005291,1
39078552,Medusa Biggie aviator sunglasses,Medusa biggie aviator sunglasses Versace Black in Plastic ,Women,women accessories,All seasons,Never worn,3,0,0,0,0,0,580,versace,http://vestiairecollective.com/versace/,Plastic,black,172.53,143.78,125.08,Trusted,1,28.76,Tourcoing,5477910,Salvo2,italy,52,49,66469,208,90.0,low,1.06122449,1
38784987,Constellation watch,Constellation watch Omega Silver in Steel ,Men,men accessories,All seasons,Fair condition,0,0,0,1,0,0,4324,omega,http://vestiairecollective.com/omega/,Steel,silver,1261.56,1051.3,914.63,Common,1,210.26,Hong Kong,13276748,closercoltd13276748,japan,1303,6356,152,2503,87.0,medium,0.205003147,1
42460218,Patent leather heels,Patent leather heels Christian Louboutin Multicolour size 39.5 EU in Patent leather ,Women,women shoes,All seasons,Very good condition,1,0,0,1,0,0,236,christian louboutin,http://vestiairecollective.com/christian-louboutin/,Patent leather,multicolour,438.9,399.0,387.03,Common,1,39.9,Brooklyn,11701865,cati11701865,united states,3,3,791732,8,100.0,low,1.0,1
41863557,Trousers,Trousers Lacoste Blue size S International in Cotton ,Men,men clothing,All seasons,Never worn,1,0,0,1,0,0,97,lacoste,http://vestiairecollective.com/lacoste/,Cotton,blue,127.8,106.5,92.66,Common,1,21.3,Tourcoing,6933660,wahid6933660,france,16,41,323629,49,93.0,low,0.390243902,1
42575296,Mid-length dress,Mid,Women,women clothing,All seasons,Never worn,1,0,0,1,0,0,253,pinko,http://vestiairecollective.com/pinko/,Viscose,multicolour,83.07,69.23,55.38,Expert,1,13.85,Tourcoing,20703265,william20703265,italy,21,27,0,7,90.0,very_low,0.777777778,1
